"track","race","place","rug","name","trainer","time","margin","split","inRun","weight","sire","dam","sp"
"Bendigo (VIC)","Race 1","1","","MAXED OUT (8)","Danielle Smith","24.43","0.00","6.88","S441","34.7kg","Aussie Infrared","Pat's Lass","$5.00"
"Bendigo (VIC)","Race 1","2","","BLUE CABANG (5)","Gregory Berry","24.59","2.37","6.96","M776","37.3kg","Bernardo","Stars And Lights","$21.00"
"Bendigo (VIC)","Race 1","3","","SOMETHING CLEVER (2)","Peter Craig","24.67","3.50","6.88","M565","34.2kg","Aston Kimetto","Popowski","$8.00"
"Bendigo (VIC)","Race 1","4","","AVIANNA (3)","Jeff Gorgioski","24.68","3.54","6.89","M654","28.4kg","Fernando Bale","Ayia Sophia","$4.20"
"Bendigo (VIC)","Race 1","5","","GREMLIN (4)","Susan Trim","24.71","4.00","6.81","M333","30.5kg","Fernando Bale","Naughty Cazza","$3.20"
"Bendigo (VIC)","Race 1","6","","VALKYRIE (1)","David Torr","24.83","5.75","6.70","M112","36.9kg","Bernardo","Eau Rouge","$6.50"
"Bendigo (VIC)","Race 1","7","","ZAP (6)","Alfred Debattista","24.92","7.09","6.72","M227","35.3kg","Zambora Brockie","Kung Fu Hustle","$15.00"
"Bendigo (VIC)","Race 1","8","","SCARLETT'S GEM (7)","John Mangion","25.29","12.26","7.03","M888","25.0kg","Zambora Brockie","Iona Champion","$10.00"
"Bendigo (VIC)","Race 1","SCR","","COCONUT OAKLAND","Paul Gabriel","","","","","","Sennachie","Foxy Whip",""
"Bendigo (VIC)","Race 1","SCR","","TESS CABANG","John Mangion","","","","","","Bernardo","Stars And Lights",""